Review Title,Rating,Sentiment
Awards worthy cinematography and acting,9,Positive
Very scary but important,9,Positive
I have never seen anything like this...,10,Positive
Hand that boy the Emmy!!!,10,Positive
wow,10,Positive
Every episode punches your gut,10,Positive
Tense and Gripping Drama,10,Positive
The Anti-Social Network,10,Positive
Perplexed by the rave reviews.,6,Neutral
Unbelievably good,10,Positive
Not at all what I expected,6,Neutral
Don't Understand all the Love,5,Neutral
A tour de force,10,Positive
Incredible work,10,Positive
Absolutely outstanding,10,Positive
Amazing but heartwrenching.,10,Positive
Great Peformances and Cinematography,8,Positive
Absolutely phenomenal,9,Positive
Excellent acting but superficial coverage.,6,Neutral
Outstanding,10,Positive
Way over rated,6,Neutral
Not worth a watch!,3,Negative
Watched all in one go!,10,Positive
Excellent!,9,Positive
Outstanding,10,Positive
Rough watch,10,Positive
"Phenomenal, soul-wrenching and beautiful.",10,Positive
Adolescence - A Parent's Guilt,10,Positive
Worth a watch but dont believe the hype.,6,Neutral
The best TV I've watched in years,10,Positive
"Great start , poor finish .",6,Neutral
Overrated gimmick,4,Neutral
Uneven But Still Very Worthwhile,8,Positive
Stunning observation of a family crisis,9,Positive
No notes,10,Positive
This boy is pure gold!!!,9,Positive
UK Rudderless,8,Positive
Outstanding,9,Positive
Don't fall for the hype.,6,Neutral
The affliction to our children...,9,Positive
"Not bad, but incomplete",6,Neutral
Interesting vehicle -at first- then just frustrating.,4,Neutral
So well-conceived,10,Positive
Simply brilliant .,10,Positive
It's so perfect that it doesn't seem like storytelling at all,10,Positive
Mesmerizing,9,Positive
A staggering technical achievement; a masterclass of acting.,8,Positive
Stunningly brilliant,10,Positive
"Beautifully made, but emotionally incomplete",7,Positive
Heartbreaking,10,Positive
In a word 'Compelling',7,Positive
Unbelievably boring,2,Negative
It's Perfect! Absolutely Perfect,10,Positive
Just amazing,10,Positive
An absolute must watch for parents.,10,Positive
Absolutely outstanding,10,Positive
Anybody who thinks this is overhyped ...,10,Positive
Amazing series!,10,Positive
More Than Just a Show-It's an Experience,10,Positive
Good but Unsatisfactory,6,Neutral
Absolute rubbish,2,Negative
Like a play by Tennessee Williams,8,Positive
